swadesh.language,swadesh.english,HScollapsed,poabodypartmerge,swadesh.twohands,swadesh.pmv
Portuguese,blood,y1,Head,false,Y_down
Portuguese,boring,y4,Head,false,UNDEF
Portuguese,brother,n1,Lateral,false,X_left
Portuguese,bug,y4,Hand,false,Y_down
Portuguese,cat,y4,Hand,false,X_right
Portuguese,child,y4,Lateral,false,UNDEF
Portuguese,correct,y0,Vertical,false,UNDEF
Portuguese,count,y4,Vertical,true,Z_back
Portuguese,day,y4,Torso,false,Y_up
Portuguese,die,y4,Vertical,true,X_left
Portuguese,dirty,n4,Head,false,Z_front
Portuguese,dog,y4,Head,false,UNDEF
Portuguese,dry,n0,Horizontal,true,Y_down
Portuguese,earth,y4,Horizontal,true,X_left
Portuguese,egg,y2,Vertical,false,UNDEF
Portuguese,father,y1,Head,false,UNDEF
Portuguese,feather,y4,Hand,false,UNDEF
Portuguese,fire,y4,Horizontal,true,UNDEF
Portuguese,fish,y4,Horizontal,true,UNDEF
Portuguese,flower,y4,Head,false,UNDEF
Portuguese,full,y4,Hand,false,Y_up
Portuguese,good,y0,Horizontal,false,Y_down
Portuguese,grass,y1,Torso,false,Y_up
Portuguese,green,y0,Torso,false,UNDEF
Portuguese,heavy,y4,Horizontal,true,Y_down
Portuguese,how,n4,Head,false,Z_back
Portuguese,husband,y1,Head,false,UNDEF
Portuguese,ice,y1,Head,false,Y_down
Portuguese,if,n4,Head,false,X_left
Portuguese,kill,y4,Vertical,true,X_left
Portuguese,laugh,y0,Head,false,Y_down
Portuguese,leaf,y1,Hand,false,Z_front
Portuguese,lie,n1,Head,false,Y_up
Portuguese,live,n2,Head,false,Z_front
Portuguese,long,n4,Hand,false,Z_front
Portuguese,look_for,n2,Head,false,Z_back
Portuguese,man,y1,Head,false,UNDEF
Portuguese,meat,n1,Hand,false,Z_back
Portuguese,moon,y4,Head,true,Z_front
Portuguese,mother,y4,Head,false,UNDEF
Portuguese,mountain,n4,Hand,false,X_right
Portuguese,name,n1,Head,false,Z_back
Portuguese,narrow,n4,Lateral,true,Z_front
Portuguese,new,y1,Lateral,true,Y_up
Portuguese,night,y4,Head,true,Y_down
Portuguese,not,n1,Vertical,false,X_left
Portuguese,old,n4,Head,false,Y_up
Portuguese,other,n1,Horizontal,false,Z_front
Portuguese,person,n1,Head,false,Z_back
Portuguese,pig,y4,Head,false,UNDEF
Portuguese,rain,y4,Horizontal,false,Y_down
Portuguese,red,y0,Head,false,Y_down
Portuguese,river,n1,Head,false,Z_front
Portuguese,salt,n4,Head,false,Z_back
Portuguese,sea,y0,Head,false,Z_back
Portuguese,sharp,y1,Hand,false,X_right
